"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"VSTR_LBL_SEND_DEATH_LOGS","Send Kill / Death logs","Send Kill / Death logs","Send Kill / Death logs","Send Kill / Death logs","Логи Убийств/Смертей","Send Kill / Death logs","Send Kill / Death logs","Send Kill / Death logs","Send Kill / Death logs","Envoyer les journaux de Kill / Mort","Send Kill / Death logs","Send Kill / Death logs","Send Kill / Death logs","Send Kill / Death logs"
"VSTR_LBL_SIMPLIFIED_LOGS","Simplified message format","Simplified message format","Simplified message format","Simplified message format","Упрощенный формат сообщений","Simplified message format","Simplified message format","Simplified message format","Simplified message format","Format de message simplifié","Simplified message format","Simplified message format","Simplified message format","Simplified message format"
"VSTR_LBL_SEND_ADMIN_LOGS","Send Admin Activity Logs","Send Admin Activity Logs","Send Admin Activity Logs","Send Admin Activity Logs","Логи Администраторов","Send Admin Activity Logs","Send Admin Activity Logs","Send Admin Activity Logs","Send Admin Activity Logs","Envoyer les journaux d'activité Admin","Send Admin Activity Logs","Send Admin Activity Logs","Send Admin Activity Logs","Send Admin Activity Logs"
"VSTR_LBL_SEND_HIT_LOGS","Send Player Hit / Damage Logs","Send Player Hit / Damage Logs","Send Player Hit / Damage Logs","Send Player Hit / Damage Logs","Логи Попаданий/Урона","Send Player Hit / Damage Logs","Send Player Hit / Damage Logs","Send Player Hit / Damage Logs","Send Player Hit / Damage Logs","Envoyer les journaux de Coup / Dommages Joueur","Send Player Hit / Damage Logs","Send Player Hit / Damage Logs","Send Player Hit / Damage Logs","Send Player Hit / Damage Logs"
"VSTR_LBL_SEND_PLAYER_LEAVE_JOIN_LOGS","Send Player Join / Leave Logs","Send Player Join / Leave Logs","Send Player Join / Leave Logs","Send Player Join / Leave Logs","Логи Входа/Выхода","Send Player Join / Leave Logs","Send Player Join / Leave Logs","Send Player Join / Leave Logs","Send Player Join / Leave Logs","Envoyer les journaux de Rejoindre / Quitter Joueur","Send Player Join / Leave Logs","Send Player Join / Leave Logs","Send Player Join / Leave Logs","Send Player Join / Leave Logs"
"VSTR_LBL_URL","URL:","URL:","URL:","URL:","URL:","URL:","URL:","URL:","URL:","URL :","URL:","URL:","URL:","URL:"
"VSTR_LBL_WEBHOOKS_TIP","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","В настоящее время поддерживаются только вебхуки Discord, поскольку формат запросов (json) подходит для Discord.","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Actuellement, seuls les WebHooks Discord sont pris en charge, car le format des requêtes (json) est adapté pour Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord"
"VSTR_LBL_CREATE_NEW_PRESET","Create New","Create New","Create New","Create New","Создать хук","Create New","Create New","Create New","Create New","Créer Nouveau","Create New","Create New","Create New","Create New"
"VSTR_LBL_PLEASE_WAIT","Please wait...","Please wait...","Please wait...","Please wait...","Подождите...","Please wait...","Please wait...","Please wait...","Please wait...","Veuillez patienter...","Please wait...","Please wait...","Please wait...","Please wait..."
"VSTR_LBL_APPLY_CHANGES","Apply Changes","Apply Changes","Apply Changes","Apply Changes","Сохранить","Apply Changes","Apply Changes","Apply Changes","Apply Changes","Appliquer les Changements","Apply Changes","Apply Changes","Apply Changes","Apply Changes"
"VSTR_LBL_LOAD_SELECTED","Load Selected","Load Selected","Load Selected","Load Selected","Загрузить","Load Selected","Load Selected","Load Selected","Load Selected","Charger Sélectionné","Load Selected","Load Selected","Load Selected","Load Selected"
"VSTR_LBL_GET_ITEM_STATS","Get Item Stats","Get Item Stats","Get Item Stats","Get Item Stats","На карте","Get Item Stats","Get Item Stats","Get Item Stats","Get Item Stats","Obtenir les Statistiques des Objets","Get Item Stats","Get Item Stats","Get Item Stats","Get Item Stats"
"VSTR_XML_EDITOR_TITLE","XML Editor","XML Editor","XML Editor","XML Editor","Редактор XML","XML Editor","XML Editor","XML Editor","XML Editor","Éditeur XML","XML Editor","XML Editor","XML Editor","XML Editor"
"VSTR_XML_MENU_TOOLTIP","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","Если вы получаете значения с сервера как «не определенные», убедитесь, что вы скопировали файл type.xml из своей миссии в папку VPPAdminTools/Export/, расположенную в ваших профилях\nПерезапуск сервера не требуется","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","Si vous obtenez des valeurs du serveur comme 'non défini', assurez-vous d'avoir copié le fichier type.xml de votre mission dans le dossier VPPAdminTools/Export/ situé dans vos profils\nAucun redémarrage du serveur n'est nécessaire, le fichier sera pris en compte par le système","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles\nNo server restart is required the file will be picked up by the system"
"VSTR_SESSION_DISCONNECT_02","SESSION DISCONNECT","SESSION DISCONNECT","SESSION DISCONNECT","SESSION DISCONNECT",,"SESSION DISCONNECT","SESSION DISCONNECT","SESSION DISCONNECT","SESSION DISCONNECT","Déconnexion de session","SESSION DISCONNECT","SESSION DISCONNECT","SESSION DISCONNECT","SESSION DISCONNECT"
"VSTR_LBL_TP_SHOW_MARKERS","Show teleport pos markers","Show teleport pos markers","Show teleport pos markers","Show teleport pos markers","[ЗАЖАТЬ/2xТап] Концентрация на игре","Show teleport pos markers","Show teleport pos markers","Show teleport pos markers","Show teleport pos markers","[Maintenir/2xTap] Se Concentrer sur le Jeu","Show teleport pos markers","Show teleport pos markers","Show teleport pos markers","Show teleport pos markers"
"VSTR_LBL_USE_CE","Use CE/XML Setup","Use CE/XML Setup","Use CE/XML Setup","Use CE/XML Setup","[2xТап] Развернуть/свернуть данные игрока ESP","Use CE/XML Setup","Use CE/XML Setup","Use CE/XML Setup","Use CE/XML Setup","Utiliser le réglage CE/XML","Use CE/XML Setup","Use CE/XML Setup","Use CE/XML Setup","Use CE/XML Setup"
"vpp_settings_collapseesp","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xТап] Развернуть/свернуть данные игрока ESP","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Développer/Réduire les Détails des Joueurs ESP","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details"
"vpp_settings_toggleplayerdetail","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","Открыть ПУ","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Développer/Réduire les Détails des Joueurs ESP","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details","[2xTap] Expand/Collapse ESP Player Details"
"vpp_settings_openadmintools","Open Toolbar","Open Toolbar","Open Toolbar","Open Toolbar","Вкл\выкл админку, горячие клавиши и привилегии","Open Toolbar","Open Toolbar","Open Toolbar","Open Toolbar","Ouvrir la Barre d'Outils","Open Toolbar","Open Toolbar","Open Toolbar","Open Toolbar"
"vpp_settings_toggleadmintools","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Телепорт под Прицел","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Activer/Désactiver les Outils, Raccourcis & Privilèges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges","Toggle Tools, Keybinds & Privileges"
"vpp_settings_teleporttocrosshair","Teleport to Crosshair","Teleport to Crosshair","Teleport to Crosshair","Teleport to Crosshair","Удалить объект под Прицелом","Teleport to Crosshair","Teleport to Crosshair","Teleport to Crosshair","Teleport to Crosshair","Téléporter au Réticule","Teleport to Crosshair","Teleport to Crosshair","Teleport to Crosshair","Teleport to Crosshair"
"vpp_settings_deleteobjectatcrosshair","Delete Object at Crosshair","Delete Object at Crosshair","Delete Object at Crosshair","Delete Object at Crosshair","Вкл\выкл ГМ","Delete Object at Crosshair","Delete Object at Crosshair","Delete Object at Crosshair","Delete Object at Crosshair","Supprimer l'Objet au Réticule","Delete Object at Crosshair","Delete Object at Crosshair","Delete Object at Crosshair","Delete Object at Crosshair"
"vpp_settings_togglegodmode","Toggle GodMode","Toggle GodMode","Toggle GodMode","Toggle GodMode","Копировать позицию в буфер обмена","Toggle GodMode","Toggle GodMode","Toggle GodMode","Toggle GodMode","Activer/Désactiver GodMode","Toggle GodMode","Toggle GodMode","Toggle GodMode","Toggle GodMode"
"vpp_settings_copyposition","Copy position to clipboard","Copy position to clipboard","Copy position to clipboard","Copy position to clipboard","Ремонт автомобиля под прицелом","Copy position to clipboard","Copy position to clipboard","Copy position to clipboard","Copy position to clipboard","Copier la position dans le presse-papiers","Copy position to clipboard","Copy position to clipboard","Copy position to clipboard","Copy position to clipboard"
"vpp_settings_repairvehicle","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Вкл\выкл Свободная Камера","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Réparer le Véhicule au Réticule","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair","Repair Vehicle at Crosshair"
"vpp_settings_togglefreecam","Toggle Free Camera","Toggle Free Camera","Toggle Free Camera","Toggle Free Camera","Выйти из режима наблюдения","Toggle Free Camera","Toggle Free Camera","Toggle Free Camera","Toggle Free Camera","Activer/Désactiver la Caméra Libre","Toggle Free Camera","Toggle Free Camera","Toggle Free Camera","Toggle Free Camera"
